instance,VariablesVari.,BinariesBina.,IntegersInte.,ContinuousCont.,ConstraintsCons.,Nonz.Nonz.,param_id,runtime,gap,status,objval
air05,7195,7195,0,0,426,52121,27,5.348999977111816,0.0,2,26374.0
app1-1,2480,1225,0,1255,4926,18275,0,0.626000165939331,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,1,1.6410000324249268,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,2,0.6489999294281006,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,3,1.2739999294281006,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,4,0.7279999256134033,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,5,0.7130000591278076,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,6,0.3610000610351562,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,7,0.5619997978210449,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,8,0.4560000896453857,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,9,0.3540000915527344,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,10,2.739000082015991,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,11,0.5279998779296875,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,12,0.6430001258850098,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,13,0.6689999103546143,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,14,0.6289999485015869,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,15,0.627000093460083,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,16,0.7190001010894775,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,17,0.6289999485015869,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,18,0.7379999160766602,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,19,3.555999994277954,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,20,1.6430001258850098,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,21,0.7869999408721924,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,22,1.0299999713897705,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,23,0.7809998989105225,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,24,0.5049998760223389,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,25,1.6410000324249268,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,26,1.194999933242798,0.0,2,-3.0
app1-1,2480,1225,0,1255,4926,18275,27,0.4459998607635498,0.0,2,-3.0
app1-2,26871,13300,0,13571,53467,199175,0,77.90400004386902,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,1,35.140000104904175,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,2,3600.0,0.4146341463414634,9,-24.0
app1-2,26871,13300,0,13571,53467,199175,3,85.34999990463257,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,4,3600.0,1.0,9,
app1-2,26871,13300,0,13571,53467,199175,5,3600.0,0.4146341463414634,9,-24.0
app1-2,26871,13300,0,13571,53467,199175,6,3600.0,0.4146341463414634,9,-24.0
app1-2,26871,13300,0,13571,53467,199175,7,84.16699981689453,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,8,3600.0,0.4146341463414634,9,-24.0
app1-2,26871,13300,0,13571,53467,199175,9,3600.0,0.4146341463414634,9,-24.0
app1-2,26871,13300,0,13571,53467,199175,10,3600.0,0.1463414634146341,9,-35.0
app1-2,26871,13300,0,13571,53467,199175,11,3600.0,0.1951219512195122,9,-33.0
app1-2,26871,13300,0,13571,53467,199175,12,50.45599985122681,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,13,90.00799989700317,0.0,9,-41.0
app1-2,26871,13300,0,13571,53467,199175,14,81.31399989128113,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,15,90.00599980354309,0.0,9,-41.0
app1-2,26871,13300,0,13571,53467,199175,16,3600.0,0.1707317073170731,9,-34.0
app1-2,26871,13300,0,13571,53467,199175,17,3600.0,0.4390243902439024,9,-23.0
app1-2,26871,13300,0,13571,53467,199175,18,3600.0,0.4390243902439024,9,-23.0
app1-2,26871,13300,0,13571,53467,199175,19,49.579999923706055,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,20,86.29500007629395,0.0,2,-41.0
app1-2,26871,13300,0,13571,53467,199175,21,3600.0,0.4390243902439024,9,-23.0
app1-2,26871,13300,0,13571,53467,199175,22,3600.0,0.2682926829268293,9,-30.0
app1-2,26871,13300,0,13571,53467,199175,23,3600.0,0.2682926829268293,9,-30.0
app1-2,26871,13300,0,13571,53467,199175,24,3600.0,0.4390243902439024,9,-23.0
app1-2,26871,13300,0,13571,53467,199175,25,3600.0,1.0,9,
app1-2,26871,13300,0,13571,53467,199175,26,3600.0,0.4390243902439024,9,-23.0
app1-2,26871,13300,0,13571,53467,199175,27,3600.0,0.4390243902439024,9,-23.0
assign1-5-8,156,130,0,26,161,3720,0,9.875,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,1,90.00099992752075,5.764780686355584e-15,9,211.99999999999923
assign1-5-8,156,130,0,26,161,3720,2,90.00099992752075,9.384526698718392e-15,9,212.0
assign1-5-8,156,130,0,26,161,3720,3,90.00099992752075,9.384526698718392e-15,9,212.0
assign1-5-8,156,130,0,26,161,3720,4,90.00099992752075,9.630492730327794e-09,9,211.99999795833355
assign1-5-8,156,130,0,26,161,3720,5,60.00300002098084,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,6,70.08899998664856,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,7,90.00099992752075,7.337518634615748e-09,9,211.9999984444441
assign1-5-8,156,130,0,26,161,3720,8,55.29900002479553,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,9,90.00100016593933,9.384526698718392e-15,9,212.0
assign1-5-8,156,130,0,26,161,3720,10,90.00399994850159,9.384526698718392e-15,9,212.0
assign1-5-8,156,130,0,26,161,3720,11,18.365000009536743,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,12,17.32099986076355,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,13,90.00100016593933,9.384526698718392e-15,9,212.0
assign1-5-8,156,130,0,26,161,3720,14,19.87000012397766,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,15,12.289999961853027,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,16,90.0019998550415,3.144644963713491e-09,9,211.99999933333328
assign1-5-8,156,130,0,26,161,3720,17,14.3989999294281,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,18,12.515000104904177,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,19,90.0019998550415,6.301039354853778e-15,9,211.99999999999932
assign1-5-8,156,130,0,26,161,3720,20,13.187000036239624,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,21,9.700000047683716,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,22,90.00099992752075,3.217552010989163e-15,9,211.9999999999987
assign1-5-8,156,130,0,26,161,3720,23,7.797999858856201,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,24,7.552000045776367,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,25,90.0019998550415,8.580138695971101e-15,9,211.99999999999983
assign1-5-8,156,130,0,26,161,3720,26,13.27999997138977,9.384526698718392e-15,2,212.0
assign1-5-8,156,130,0,26,161,3720,27,25.17199993133545,9.384526698718392e-15,2,212.0
atlanta-ip,48738,46667,106,1965,21732,257532,0,90.00200009346008,0.0111109724432454,9,91.00997589490002
